loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
1384,57300,169,37,359,-7,2155,397876,392,90,27,191,57,-100,35955,23245,520,12832,4293,33772,3989,180,152,1055,1818,-4055800,50,1915,-52,-212,4,240,278,210,150,540,355,328,487,-4890,399,2512,-15868,178,32,-1,0,1,23,9,4,8,0,80
1385,63321,167,41,361,-7,2156,397876,391,94,31,191,57,-100,35955,23245,529,12839,4293,33772,3989,186,150,1052,2854,-4055799,45,1915,-21,-207,79,296,272,185,178,536,400,297,521,-4879,416,2512,-15828,178,32,-1,0,1,23,9,4,8,0,80
1386,69330,167,46,361,-7,2154,397877,390,81,66,361,192,-55,36077,23263,566,12839,4293,33772,3989,186,167,1060,2858,-4055759,47,1917,-36,-209,67,279,273,197,164,538,377,344,552,-4839,427,2511,-15833,178,32,-1,0,1,23,9,4,8,0,80
1387,75339,168,46,359,-7,2154,397878,400,84,61,361,192,-55,36077,23263,566,12845,4293,33772,3989,191,167,1058,2859,-4055754,51,1930,-89,-261,48,396,269,160,216,592,401,327,562,-4832,467,2512,-15832,178,32,-1,0,1,23,9,4,8,0,80
1388,81388,179,48,386,-7,2154,397879,395,89,63,378,183,20,36077,23313,563,30852,4293,33772,3990,196,183,1076,2863,-4055754,89,1922,-58,-235,59,337,272,172,192,565,389,336,589,-4792,507,2522,-15833,178,32,-1,0,1,23,9,4,8,0,80
1389,87437,178,47,385,-7,2155,397880,393,87,64,378,183,20,36077,23313,563,30857,4293,33773,3990,200,183,1076,2864,-4055755,64,1905,-50,-284,77,517,267,193,210,593,395,335,602,-4792,547,2523,-15830,178,32,-1,0,1,23,9,4,8,0,80
1390,93485,180,50,382,-7,2155,397880,392,88,60,378,183,21,36077,23313,563,30861,4293,33773,3991,203,183,1073,2862,-4055750,76,1919,-53,-385,50,535,291,159,217,602,383,346,609,-4783,587,2523,-15824,178,32,-1,0,1,23,9,4,8,0,80
1391,99543,180,46,382,-6,2155,397878,384,106,82,324,179,40,36078,23234,567,30861,4293,33827,9375,204,223,1074,2862,-4055749,71,1914,-55,-334,67,526,279,176,253,546,429,329,603,-4787,898,2520,-15825,178,32,-1,0,1,23,9,4,8,0,80
1392,105600,176,43,384,-6,2156,397878,371,104,86,324,179,40,36078,23234,567,30866,4293,33827,9376,209,223,1076,2863,-4055754,65,1910,-38,-221,108,691,307,243,224,543,406,341,625,-4783,938,2520,-15827,178,32,-1,0,1,23,9,4,8,0,80
1393,111699,167,83,384,-6,2157,397876,372,102,86,313,154,45,36073,47845,559,30866,4293,33836,9377,210,223,1087,2883,-4055737,108,1913,-48,-279,87,610,290,210,237,544,417,335,646,-4743,978,2509,-15828,178,32,-1,0,1,23,9,4,8,0,80
1394,117797,167,80,382,-6,2157,397876,377,98,82,313,154,45,36073,47845,567,30871,4293,33836,9379,215,223,1087,2886,-4055731,91,1919,-85,-364,-78,831,302,238,228,588,415,338,635,-4747,941,3789,4088394,178,32,-1,0,1,23,9,4,8,0,80
1395,125864,166,80,383,-6,2157,397876,378,100,83,313,154,45,36073,47845,567,30876,4293,33836,9380,220,223,1087,2886,-4055731,97,1916,-36,-297,21,715,302,232,254,566,445,353,646,-4752,981,3788,4088394,178,32,-1,0,1,23,9,4,8,0,80
1396,133973,206,90,383,-6,2157,397874,378,95,85,299,189,243,47342,47845,571,30880,4316,38732,14552,220,263,1087,2881,-4055735,94,1916,-68,-333,-27,773,302,235,273,609,472,336,672,-4753,978,3791,4088396,178,32,-1,0,1,23,9,4,8,0,80
1397,142083,204,87,381,-6,2158,397874,379,91,79,299,189,243,47342,47845,571,30885,4316,38732,14552,224,263,1090,2885,-4055731,104,1899,-106,-285,138,720,322,262,229,616,453,360,659,-4731,1018,3790,4088401,178,32,-1,0,1,23,9,4,8,0,80
1398,150183,205,793,379,-6,2156,397874,384,106,79,266,53,359,47389,47854,571,30885,4442,51028,14552,224,269,1081,2925,-4055731,97,1905,-89,-310,49,747,311,248,251,612,502,398,705,-4741,1018,3790,4088402,178,32,-1,0,1,23,9,4,8,0,80
1399,158284,203,795,379,-7,2156,397874,381,110,80,266,53,359,47389,47854,571,30888,4442,51028,14553,227,269,1084,2924,-4055728,104,1930,-62,-638,206,521,356,269,242,593,496,392,682,-4741,1058,3791,4088397,178,32,-1,0,1,23,9,4,8,0,80
1400,166375,202,791,383,-7,2156,397875,386,109,107,299,-12,531,47477,47870,571,30888,7028,59778,14633,227,265,1082,2922,-4055726,99,1919,-78,-471,127,634,333,290,270,642,489,395,696,-4740,1057,3785,4088417,178,32,-1,0,1,23,9,4,8,0,80
1401,174468,204,791,384,-7,2156,397875,393,110,109,299,-12,531,47477,47870,571,30891,7028,59778,14633,229,264,1081,2922,-4055726,97,1919,-58,-525,128,582,271,254,263,649,504,414,689,-4729,1052,3825,4088418,178,32,-1,0,1,23,9,4,8,0,80
1402,182570,204,787,386,-7,2157,397873,393,111,113,257,-61,401,62113,47870,29252,30891,7028,59778,14542,229,263,1084,2917,-4055726,98,1921,-75,-497,127,608,302,312,315,677,504,404,688,-4725,1056,3825,4088412,178,32,-1,0,1,23,9,4,8,0,80
253,75,2,-1,57,0,14,17,9,40,0,5,-2,-1,0,2,-2,2,0,0,-1,32,1162,40,-9,1,4,-4,3,0,3,-15,-24,0,-11,201,166,207,204,86,0,37,10,178,32,-1,0,1,23,9,4,8,0,80
254,77,4,-4,57,0,14,18,7,41,1,5,-2,-1,0,2,-2,3,0,0,-1,34,1162,36,-7,-1,12,-11,-23,-38,-27,10,-37,7,-3,217,176,221,188,115,40,34,10,178,32,-1,0,1,23,9,4,8,0,80
2624,8239937,9,-7,2,15,25,6,4,-16,-2,0,0,5,1,3,120,1725,0,0,34,731,1078,5670,-220,710,-6,4,30,22,10,17,-229,-50,4539,1469,1501,1620,1568,1770,1695,1858,1729,131,116,-2,0,0,23,9,4,8,0,80
